Time,ID,x_coord,y_coord,Speed,Acceleration
51,560,618.67,1,19.9,0.21
51,618,598.67,2,18.74,-0.09
51,734,579.12,0,21.33,0.15
51,1288,561.22,2,17.97,0.27
51,666,558.18,1,20.25,0.04
51,713,538.02,1.25,18.19,0.17
51,777,530.83,0,20.33,0.3
51,1394,491.63,3,17.05,0.15
51,819,482.19,0,19.54,0.27
51,766,469.24,1,19.24,0.26
51,813,464.48,2,19.58,-2.05
51,882,438.54,0,18.74,0.25
51,903,411,2,18.55,0.08
51,860,398.16,1,18.23,0.2
51,924,398.1,0,17.85,0.06
51,988,362.1,0,16.93,0.16
51,966,361.23,2,18.32,0.21
51,1030,329.29,0,16.2,0.25
51,960,328.16,1,17.45,0.4
51,1019,309.79,2,18.01,0.36
51,1072,296.42,0,16.15,0
51,1066,273.26,1,16.94,0.33
51,1094,269.08,2,16.46,0.09
51,1115,242.89,0,16.29,0.08
51,1177,229.06,2,15.96,0.21
51,1166,214.35,1,16.18,0.37
51,1199,210.63,0,15.16,0.28
51,1220,182.31,2,15.73,0.33
51,1277,181.88,0,14.95,0.07
51,1241,181.58,1,15.08,0.25
51,1326,156.79,0,15.02,-0.16
51,1294,138.02,2,14.55,0.12
51,1310,129.11,1,14.47,0.32
51,1357,103.44,0,13.98,0.13
51,1378,102.81,2,13.8,0.15
51,1431,79.98,0,13.77,-0.01
51,1410,78.08,1,13.8,0.32
51,1473,51.22,1,13.82,-0.18
51,1494,50.36,0,16.3,-0.87
51,1467,50.06,2,13.7,0.08
51,1537,20.01,2,16.08,-0.9
51,1526,18.53,1,11.81,0.18
51,1558,7.96,0,19.78,-0.61
